"","x"
"822",219729
"823",241678
"824",292717
"825",404287
"826",223778
"827",201077
"828",195945
"829",230916
"830",223894
"831",274472
"832",392780
"833",226581
"834",213847
"835",211101
"836",214919
"837",223113
"838",266779
"839",389433
"840",210615
"841",171190
"842",180495
"843",188877
"844",201989
"845",234064
"846",369019
"847",194766
"848",172240
"849",191609
"850",183808
"851",193160
"852",273104
"853",366096
"854",236301
"855",280141
"856",133682
"857",173105
"858",180242
"859",224690
"860",354201
"861",207463
"862",159226
"863",155752
"864",183930
"865",185860
"866",273358
"867",387880
"868",206776
"869",160154
"870",163448
"871",164194
"872",192219
"873",265169
"874",377251
"875",212816
"876",145903
"877",165960
"878",188288
"879",216543
"880",259825
"881",394213
"882",221133
"883",166506
"884",159352
"885",176184
"886",186168
"887",252603
"888",376263
"889",211691
"890",184548
"891",158173
"892",160021
"893",183944
"894",238974
"895",390353
"896",219007
"897",153575
"898",174263
"899",205359
"900",207185
"901",282795
"902",432341
"903",240274
"904",NA
"905",NA
"906",NA
"907",NA
"908",NA
"909",NA
"910",203667
"911",NA
"912",154750
"913",164930
"914",186883
"915",256145
"916",418121
"917",236383
"918",179554
"919",167406
"920",197036
"921",285142
"922",323263
"923",451712
"924",258176
"925",176087
"926",165287
"927",191887
"928",198333
"929",266216
"930",461199
"931",270995
"932",217259
"933",230124
"934",292025
"935",NA
"936",909531
"937",529345
"938",243123
"939",220400
"940",218081
"941",254271
"942",299103
"943",404642
"944",654086
"945",394893
"946",NA
"947",NA
"948",NA
"949",NA
"950",NA
"951",NA
"952",NA
"953",NA
"954",NA
"955",NA
"956",NA
"957",NA
"958",NA
"959",NA
"960",813748
"961",866111
"962",885587
"963",101105
"964",766510
"965",NA
"966",615322
"967",525708
"968",413661
"969",425512
"970",434558
"971",415567
"972",225055
"973",231993
"974",115313
"975",534016
"976",411153
"977",362292
"978",428002
"979",631029
"980",355235
"981",227348
"982",215823
"983",232691
"984",221870
"985",303344
"986",498798
"987",294020
"988",304773
"989",156737
"990",159092
"991",156587
"992",237520
"993",315099
"994",NA
"995",145355
"996",156113
"997",145729
"998",158769
"999",211454
"1000",NA
"1001",223342
"1002",149062
"1003",150734
"1004",164569
"1005",178207
"1006",301990
"1007",436354
"1008",208222
"1009",182890
"1010",208374
"1011",234988
"1012",296979
"1013",452481
"1014",651723
"1015",399599
"1016",437001
"1017",158139
"1018",155706
"1019",176655
"1020",258853
"1021",437189
"1022",236625
"1023",224375
"1024",137602
"1025",157800
"1026",150645
"1027",230407
"1028",392473
"1029",210889
"1030",150993
"1031",167230
"1032",176647
"1033",216706
"1034",295339
"1035",499040
"1036",273963
"1037",189030
"1038",156310
"1039",187813
"1040",201295
"1041",288196
"1042",451414
"1043",235235
"1044",186254
"1045",202323
"1046",201488
"1047",217967
"1048",275552
"1049",414107
"1050",244068
"1051",194466
"1052",192726
"1053",210255
"1054",234722
"1055",383157
"1056",428395
"1057",NA
"1058",212802
"1059",201362
"1060",214691
"1061",239310
"1062",280163
"1063",414697
"1064",217567
"1065",171781
"1066",174159
"1067",180111
